Date,Price,Open,High,Low,Vol.,Change %
4/3/2019,"27,322.80","26,633.90","27,628.90","26,366.10",2.38M,2.59%
4/4/2019,"27,016.60","27,552.40","27,552.40","26,901.80",1.33M,-1.12%
4/5/2019,"26,825.30","27,016.60","27,322.80","26,633.90",927.74K,-0.71%
4/8/2019,"27,169.70","26,633.90","27,208.00","26,633.90",1.31M,1.28%
4/9/2019,"27,361.00","27,169.70","27,705.40","27,169.70",2.62M,0.70%
4/10/2019,"26,940.10","27,361.00","27,399.30","26,940.10",657.17K,-1.54%
4/11/2019,"26,901.80","27,016.60","27,169.70","26,748.70",809.91K,-0.14%
4/12/2019,"26,595.70","26,863.50","26,940.10","26,557.40",1.12M,-1.14%
4/16/2019,"27,169.70","26,480.90","27,246.20","26,174.70",1.77M,2.16%
4/17/2019,"26,633.90","27,169.70","27,169.70","26,633.90",1.07M,-1.97%
4/18/2019,"26,633.90","26,633.90","27,093.20","26,519.10",1.28M,0.00%
4/19/2019,"26,672.20","26,633.90","26,940.10","26,557.40",369.60K,0.14%
4/22/2019,"26,174.70","26,672.20","26,672.20","25,983.40",864.62K,-1.87%
4/23/2019,"26,174.70","26,480.90","26,480.90","25,983.40",1.26M,0.00%
4/24/2019,"26,480.90","26,404.30","26,633.90","26,251.30",676.77K,1.17%
4/25/2019,"26,404.30","26,480.90","26,787.00","26,404.30",584.35K,-0.29%
4/26/2019,"26,633.90","26,404.30","26,710.50","26,404.30",608.98K,0.87%
5/2/2019,"26,404.30","26,787.00","26,787.00","26,404.30",608.05K,-0.86%
5/3/2019,"26,174.70","26,404.30","26,633.90","26,174.70",698.44K,-0.87%
5/6/2019,"25,332.90","25,753.80","25,945.10","25,256.30",1.53M,-3.22%
5/7/2019,"25,332.90","25,485.90","25,945.10","25,179.80",1.19M,0.00%
5/8/2019,"24,758.90","25,026.70","25,256.30","24,758.90",1.42M,-2.27%
5/9/2019,"23,802.20","24,988.50","25,103.30","23,725.60",2.44M,-3.86%
5/10/2019,"24,491.00","24,108.30","24,644.10","24,031.80",1.38M,2.89%
5/13/2019,"25,026.70","24,491.00","25,103.30","24,491.00",979.04K,2.19%
5/14/2019,"24,797.10","24,835.40","24,950.20","24,491.00",1.37M,-0.92%
5/15/2019,"25,179.80","24,950.20","25,332.90","24,720.60",1.84M,1.54%
5/16/2019,"24,950.20","25,218.10","25,256.30","24,835.40",976.23K,-0.91%
5/17/2019,"24,605.80","25,026.70","25,026.70","24,491.00",1.18M,-1.38%
5/20/2019,"25,026.70","24,567.50","25,179.80","24,567.50",1.21M,1.71%
5/21/2019,"25,294.60","25,026.70","25,447.70","24,950.20",2.16M,1.07%
5/22/2019,"25,409.40","25,294.60","25,715.50","25,294.60",1.59M,0.45%
5/23/2019,"25,562.50","25,256.30","25,562.50","24,950.20",1.00M,0.60%
5/24/2019,"24,873.70","25,332.90","25,447.70","24,873.70",1.90M,-2.69%
5/27/2019,"24,950.20","24,873.70","25,026.70","24,797.10",661.59K,0.31%
5/28/2019,"24,720.60","24,873.70","25,103.30","24,605.80",1.11M,-0.92%
5/29/2019,"24,491.00","24,720.60","24,835.40","24,452.70",1.13M,-0.93%
5/30/2019,"24,337.90","24,644.10","24,720.60","24,337.90",844.96K,-0.63%
5/31/2019,"24,108.30","24,223.10","24,414.40","24,070.00",1.15M,-0.94%
6/3/2019,"23,419.50","24,031.80","24,108.30","23,419.50",1.63M,-2.86%
6/4/2019,"24,491.00","23,419.50","24,491.00","23,381.20",1.09M,4.58%
6/5/2019,"24,031.80","24,491.00","24,644.10","24,031.80",607.13K,-1.87%
6/6/2019,"23,955.20","24,031.80","24,261.40","23,649.10",414.54K,-0.32%
6/7/2019,"24,261.40","23,955.20","24,261.40","23,955.20",577.67K,1.28%
6/10/2019,"24,261.40","24,337.90","24,567.50","24,261.40",593.04K,0.00%
6/11/2019,"24,414.40","24,337.90","24,491.00","24,184.80",734.99K,0.63%
6/12/2019,"24,108.30","24,261.40","24,414.40","24,070.00",441.84K,-1.25%
6/13/2019,"24,108.30","24,031.80","24,299.60","24,031.80",363.65K,0.00%
6/14/2019,"24,605.80","24,261.40","24,682.30","24,108.30",2.00M,2.06%
6/17/2019,"24,567.50","24,644.10","24,911.90","24,452.70",872.48K,-0.16%
6/18/2019,"24,491.00","24,414.40","24,567.50","24,261.40",344.21K,-0.31%
6/19/2019,"24,491.00","24,797.10","24,797.10","24,452.70",580.83K,0.00%
6/20/2019,"24,988.50","24,491.00","25,026.70","24,414.40",1.44M,2.03%
6/21/2019,"24,873.70","25,026.70","25,218.10","24,835.40",630.94K,-0.46%
6/24/2019,"24,950.20","24,988.50","25,256.30","24,797.10",943.43K,0.31%
6/25/2019,"24,567.50","24,950.20","25,026.70","24,567.50",923.72K,-1.53%
6/26/2019,"24,873.70","24,491.00","24,911.90","24,414.40",1.32M,1.25%
6/27/2019,"24,491.00","24,835.40","24,835.40","24,491.00",836.14K,-1.54%
6/28/2019,"24,261.40","24,491.00","24,644.10","24,031.80",821.52K,-0.94%
7/1/2019,"24,758.90","24,644.10","24,873.70","24,567.50",692.29K,2.05%
7/2/2019,"24,529.30","24,567.50","24,797.10","24,529.30",571.93K,-0.93%
7/3/2019,"24,567.50","24,491.00","24,797.10","24,491.00",515.51K,0.16%
